Month,Inbound Calls,Average Speed of Answer Seconds,Abandoned Calls,Abandonment Rate,Agent available hours,Number of Agents ,Total Cost @ €12/hr,Cost per call,Total Call Time,Occupancy
02/01/2013,3566,106,33,0.93,1600,40,"€14,400.00",€4.16,"14,264",89.91%
01/01/2013,4581,224,56,1.22,1600,40,"€14,400.00",€3.31,"18,324",91.97%
12/01/2012,3864,80,87,2.25,1600,40,"€14,400.00",€3.81,"15,456",90.62%
11/01/2012,4455,83,76,1.71,1600,40,"€14,400.00",€3.29,"17,820",91.76%
10/01/2012,3771,28,54,1.43,1600,40,"€14,400.00",€3.85,"15,084",90.41%
09/01/2012,3153,23,53,1.68,1480,37,"€13,320.00",€4.26,"12,612",89.50%
08/01/2012,3585,24,46,1.28,1440,36,"€12,960.00",€3.64,"14,340",90.87%
07/01/2012,3682,24,67,1.82,1440,36,"€12,960.00",€3.54,"14,728",91.09%
06/01/2012,3242,14,38,1.17,1600,40,"€14,400.00",€4.46,"12,968",89.02%
05/01/2012,3325,15,44,1.32,1600,40,"€14,400.00",€4.35,"13,300",89.26%
04/01/2012,3337,21,76,2.28,1440,36,"€12,960.00",€3.91,"13,348",90.26%
03/01/2012,3893,29,83,2.13,1600,40,"€14,400.00",€3.73,"15,572",90.68%
02/01/2012,3117,21,43,1.38,1600,40,"€14,400.00",€4.65,"12,468",88.63%
01/01/2012,2970,17,41,1.38,1600,40,"€14,400.00",€4.88,"11,880",88.13%
12/01/2011,2584,22,37,1.43,1600,40,"€14,400.00",€5.62,"10,336",86.60%
11/01/2011,2763,21,45,1.63,1600,40,"€14,400.00",€5.25,"11,052",87.35%
10/01/2011,2752,18,40,1.45,1600,40,"€14,400.00",€5.27,"11,008",87.31%
09/01/2011,3101,29,62,2,1600,40,"€14,400.00",€4.69,"12,404",88.57%
08/01/2011,3472,44,67,1.93,1600,40,"€14,400.00",€4.20,"13,888",89.67%
07/01/2011,3685,43,82,2.23,1440,36,"€12,960.00",€3.56,"14,740",91.10%
06/01/2011,3790,62,87,2.3,1600,40,"€14,400.00",€3.86,"15,160",90.45%
05/01/2011,3559,49,42,1.18,1600,40,"€14,400.00",€4.10,"14,236",89.90%
04/01/2011,4009,29,49,1.22,1600,40,"€14,400.00",€3.62,"16,036",90.93%
03/01/2011,4379,29,72,1.64,1600,40,"€14,400.00",€3.31,"17,516",91.63%
02/01/2011,2520,18,30,1.19,1600,40,"€14,400.00",€5.76,"10,080",86.30%
01/01/2011,3171,25,45,1.42,1600,40,"€14,400.00",€4.58,"12,684",88.80%
12/01/2010,3754,77,36,0.96,1600,40,"€14,400.00",€3.92,"15,016",90.37%
11/01/2010,4250,85,67,1.58,1600,40,"€14,400.00",€3.46,"17,000",91.40%
10/01/2010,3799,32,87,2.29,1600,40,"€14,400.00",€3.82,"15,196",90.47%
09/01/2010,3201,25,57,1.78,1480,37,"€13,320.00",€4.19,"12,804",89.64%
08/01/2010,3491,22,49,1.4,1480,37,"€13,320.00",€3.84,"13,964",90.42%
07/01/2010,3701,21,65,1.76,1600,40,"€14,400.00",€3.91,"14,804",90.25%
06/01/2010,3340,15,33,0.99,1600,40,"€14,400.00",€4.33,"13,360",89.30%
05/01/2010,3395,17,28,0.82,1600,40,"€14,400.00",€4.26,"13,580",89.46%
04/01/2010,3731,20,88,2.36,1600,40,"€14,400.00",€3.88,"14,924",90.32%
03/01/2010,3920,25,77,1.96,1600,40,"€14,400.00",€3.70,"15,680",90.74%
02/01/2010,3098,23,42,1.36,1600,40,"€14,400.00",€4.68,"12,392",88.56%
01/01/2010,2808,18,39,1.39,1600,40,"€14,400.00",€5.16,"11,232",87.53%
12/01/2009,2654,23,35,1.32,1600,40,"€14,400.00",€5.47,"10,616",86.90%
11/01/2009,2865,21,41,1.43,1600,40,"€14,400.00",€5.06,"11,460",87.75%
10/01/2009,2854,18,46,1.61,1600,40,"€14,400.00",€5.08,"11,416",87.71%
09/01/2009,3234,27,66,2.04,1480,37,"€13,320.00",€4.15,"12,936",89.73%
08/01/2009,3502,45,76,2.17,1440,36,"€12,960.00",€3.75,"14,008",90.68%
07/01/2009,3619,44,85,2.35,1440,36,"€12,960.00",€3.63,"14,476",90.95%
06/01/2009,3890,60,82,2.11,1600,40,"€14,400.00",€3.76,"15,560",90.68%
05/01/2009,3543,44,87,2.46,1440,36,"€12,960.00",€3.70,"14,172",90.78%
04/01/2009,4194,28,86,2.05,1600,40,"€14,400.00",€3.46,"16,776",91.29%
03/01/2009,4389,31,69,1.57,1600,40,"€14,400.00",€3.30,"17,556",91.65%
02/01/2009,2677,19,23,0.86,1600,40,"€14,400.00",€5.42,"10,708",87.00%
01/01/2009,3124,24,23,0.74,1600,40,"€14,400.00",€4.65,"12,496",88.65%
,3617.85,27.3,50.58,1.38,1582.55,39.56,"€14,242.91",€4.06,"14,471",89.95%
