Month,Inbound Calls,Average Speed of Answer Seconds,Abandoned Calls,Abandonment Rate,Agent available hours,Workload Hours,Occupancy
10/01/2010,3799,32,87,2.29,333,253,76.06%
09/01/2010,3201,25,57,1.78,347,213,61.50%
08/01/2010,3491,22,49,1.4,387,233,60.14%
07/01/2010,3701,21,65,1.76,377,247,65.45%
06/01/2010,3340,15,33,0.99,376,223,59.22%
05/01/2010,3395,17,28,0.82,375,226,60.36%
04/01/2010,3731,20,88,2.36,356,249,69.87%
03/01/2010,3920,25,77,1.96,347,261,75.31%
02/01/2010,3098,23,42,1.36,360,207,57.37%
01/01/2010,2808,18,39,1.39,321,187,58.32%
12/01/2009,2654,23,35,1.32,333,177,53.13%
11/01/2009,2865,21,41,1.43,347,191,55.04%
10/01/2009,2854,18,46,1.61,387,190,49.16%
09/01/2009,3234,27,66,2.04,377,216,57.19%
08/01/2009,3502,45,76,2.17,347,233,67.28%
07/01/2009,3619,44,85,2.35,360,241,67.02%
06/01/2009,3890,60,82,2.11,321,259,80.79%
05/01/2009,3543,44,87,2.46,333,236,70.93%
04/01/2009,4194,28,86,2.05,347,280,80.58%
03/01/2009,4389,31,69,1.57,387,293,75.61%
02/01/2009,2677,19,23,0.86,377,178,47.34%
01/01/2009,3124,24,23,0.74,356,208,58.50%
